id,title,headline,level,locale,rating_average,rating_count,duration_seconds,is_free,is_practice_test_course,instructors,lectures_count,practice_test_questions_count,badges,updated_on,url_course_landing,url_course_taking,image_240x135,tracking_id,hands_on_ribbons
5776686,Learn Basics of Python Scripting for Server Side Automation,Learn How to Automate Repetitive Tasks with Python Scripting,BEGINNER,en-IN,4.486754417419434,64,62338,False,False,Narendra ( VRTechnologies ),146,0,,2024-06-13,https://www.udemy.com/course/python-scripting-for-automation,https://www.udemy.com/course/python-scripting-for-automation/learn,https://img-c.udemycdn.com/course/240x135/5776686_49b2_5.jpg,Fkc_EG3mQA-uN4PNlZWYZw,
3395102,"Algorithmic Trading A-Z with Python, Machine Learning & AWS","Build your own truly Data-driven Day Trading Bot | Learn how to create, test, implement & automate unique Strategies.",ALL_LEVELS,en-US,4.29586935043335,4198,161203,False,False,Alexander Hagmann,526,30,Bestseller|Bestseller,2025-12-29,https://www.udemy.com/course/algorithmic-trading-with-python-and-machine-learning,https://www.udemy.com/course/algorithmic-trading-with-python-and-machine-learning/learn,https://img-c.udemycdn.com/course/240x135/3395102_22d6_2.jpg,fcvbn6KpQH2w_TsIXJiQ6A,
5165330,Master Excel and Solve 500 Problems (Beginner - Advanced),"Learning MS Excel Functions, Tools, Dashboards, Power Pivot, Power Query and VBA with Practice.",ALL_LEVELS,en-US,4.6770172119140625,87,253442,False,False,Nikoloz Glonti,518,0,,2025-03-27,https://www.udemy.com/course/master-excel-and-solve-500-problems-beginner-advanced,https://www.udemy.com/course/master-excel-and-solve-500-problems-beginner-advanced/learn,https://img-c.udemycdn.com/course/240x135/5165330_8cd1_3.jpg,xydNr6HJTueVsY31GczM-w,
6308767,Data Analysis with Pandas and Python 2026,Learn how to use the Python&#x27;s powerful pandas library for data analysis and manipulation.,ALL_LEVELS,en-US,4.7667236328125,7,58606,False,False,Tech With Mala,139,0,,2025-05-20,https://www.udemy.com/course/python-masterclass-the-complete-guide,https://www.udemy.com/course/python-masterclass-the-complete-guide/learn,https://img-c.udemycdn.com/course/240x135/6308767_3e5c_6.jpg,5ThSuFuQSVGmNsVuw8RCaw,
1554180,Python Network Programming for Network Engineers (Python 3),Program networks using Python version 3. Learn network programmability with this practical GNS3 and Cisco course,BEGINNER,en-US,4.534130096435547,9168,46205,False,False,David Bombal|Experts with David Bombal,171,0,,2025-07-21,https://www.udemy.com/course/python-network-programming-for-network-engineers-python-3,https://www.udemy.com/course/python-network-programming-for-network-engineers-python-3/learn,https://img-c.udemycdn.com/course/240x135/1554180_150a_2.jpg,51lc0At1RoC7ZbskhGe_vw,
6896911,Leetcode problems for the Job seekers (130+ problems),From a scratch to most advanced,ALL_LEVELS,en-US,4.5326151847839355,66,169899,False,False,Ramesh B,562,0,,2026-02-13,https://www.udemy.com/course/dsa-with-leetcode-problems,https://www.udemy.com/course/dsa-with-leetcode-problems/learn,https://img-c.udemycdn.com/course/240x135/6896911_900e_3.jpg,NYkGXI_BTWWrVvR3rS001w,
1277804,"Python for Network Engineers: Netmiko, NAPALM, pyntc, Telnet",Program networks using Python. Learn network automation and programmability with this practical course (Cisco networks),BEGINNER,en-US,4.857676982879639,2458,50300,False,False,David Bombal|Experts with David Bombal,176,0,Good for Beginners,2025-04-10,https://www.udemy.com/course/python-for-network-engineers-netmiko-napalm-pyntc-telnet-ssh-automate,https://www.udemy.com/course/python-for-network-engineers-netmiko-napalm-pyntc-telnet-ssh-automate/learn,https://img-c.udemycdn.com/course/240x135/1277804_8618_4.jpg,NKMKUm25T1ebBjkWK03s5A,
768028,* An Integrated Approach to the Fundamentals of Accounting,A comprehensive course for those that want to learn Bookkeeping and Accounting,ALL_LEVELS,en-US,3.817774534225464,46,20475,False,False,Paula Guilfoyle & CO,123,0,,2016-04-06,https://www.udemy.com/course/an-integrated-approach-to-the-fundamentals-of-accounting,https://www.udemy.com/course/an-integrated-approach-to-the-fundamentals-of-accounting/learn,https://img-c.udemycdn.com/course/240x135/768028_a2fa_4.jpg,vGH_0uTORXOr10t1jxMVBQ,
4953660,Fundamentals of Backend Engineering,"Understand backend communication design patterns, protocols, execution and proxying",INTERMEDIATE,en-US,4.7210469245910645,7013,70638,False,False,Hussein Nasser,63,0,Highest Rated|Highest Rated|Bestseller|Bestseller,2025-10-13,https://www.udemy.com/course/fundamentals-of-backend-communications-and-protocols,https://www.udemy.com/course/fundamentals-of-backend-communications-and-protocols/learn,https://img-c.udemycdn.com/course/240x135/4953660_3133_3.jpg,T11P7A4oQj6Vo7T-IZkl0A,
1568464,Linear Algebra for Data Science & Machine Learning A-Z 2025,"Linear Algebra for Data Science, Big Data, Machine Learning, Engineering & Computer Science. Master Linear Algebra",ALL_LEVELS,en-US,4.722774982452393,821,64898,False,False,Kashif A.|Abdullah A.,215,0,Highest Rated|Highest Rated|Good for Beginners|Good for Beginners|Bestseller|Bestseller,2025-04-20,https://www.udemy.com/course/linear-algebra-for-beginners-matrices-and-vector-spaces,https://www.udemy.com/course/linear-algebra-for-beginners-matrices-and-vector-spaces/learn,https://img-c.udemycdn.com/course/240x135/1568464_c455_6.jpg,ruR6HJ-lQ_e25HtvopTB0g,
513244,Data Science A-Z: Hands-On Exercises & ChatGPT Prize [2026],"Learn Data Science step by step through real Analytics examples. Data Mining, Modeling, Tableau Visualization and more!",ALL_LEVELS,en-US,4.546478748321533,34793,76298,False,False,Kirill Eremenko|SuperDataScience Team|Ligency ​,217,0,,2026-01-05,https://www.udemy.com/course/datascience,https://www.udemy.com/course/datascience/learn,https://img-c.udemycdn.com/course/240x135/513244_b831_4.jpg,28rg6nt1Q7KT7APwWYCdrA,
4968586,Python From Zero to Automation,"A practical programming course for office workers, academics, and administrators who want to improve their productivity",BEGINNER,en-US,4.827669620513916,3,42027,False,False,Luiz Fernando Estivalet,147,0,,2023-05-16,https://www.udemy.com/course/python-from-zero-to-automation,https://www.udemy.com/course/python-from-zero-to-automation/learn,https://img-c.udemycdn.com/course/240x135/4968586_d60b_3.jpg,KrtDFIvCTQy1mwdlNP3UBg,
5527714,Python Essentials: Learn Python Basics with Coding Exercises,"Learn the Important Basics of Python such as lists, dictionaries, tuples, sets, Functions and MORE with Coding Practices",BEGINNER,en-US,4.264407634735107,55,10751,False,False,Analytix AI,41,0,,2024-08-16,https://www.udemy.com/course/chatgpt-for-solving-errors-in-python-codes-within-seconds,https://www.udemy.com/course/chatgpt-for-solving-errors-in-python-codes-within-seconds/learn,https://img-c.udemycdn.com/course/240x135/5527714_1035_6.jpg,dE6yv5FqRVilAO1cf1rV3g,
2265622,PL-300 certification prep: Microsoft Power BI Data Analyst,"Learn skills for Microsoft PL-300 certification using the free Power BI Desktop. Power Query, DAX, M. Helps with DP-600",BEGINNER,en-US,4.589423656463623,36653,108311,False,False,Phillip Burton • over one million students so far|I Do Data Limited,322,76,Good for Beginners|Bestseller|Bestseller|Good for Beginners,2026-02-19,https://www.udemy.com/course/70-778-analyzing-and-visualizing-data-with-power-bi,https://www.udemy.com/course/70-778-analyzing-and-visualizing-data-with-power-bi/learn,https://img-c.udemycdn.com/course/240x135/2265622_8081_3.jpg,zbIRo-6uTLSv6kEGvlPcAg,
5394756,Certified Entry-Level Python Programmer -PCEP,Unlock the Power of Python Programming Even if You've Never Written Code Before! Dive into the world of Python.,BEGINNER,en-US,4.410834312438965,187,9694,False,False,TechLab Guru,43,0,,2025-08-07,https://www.udemy.com/course/python-basics-and-sample-django-project-for-beginners,https://www.udemy.com/course/python-basics-and-sample-django-project-for-beginners/learn,https://img-c.udemycdn.com/course/240x135/5394756_2030_5.jpg,0kRwjwtURC6_DE-XFtf0VQ,
